index	job_link	job_title	job_company	job_industry	job_update	job_location	job_exp	job_edu	job_brief	job_applicants	job_tags_salary	job_tags_tse_otc	job_tags_fc	job_tags_emp	job_tags_remote	job_tags_metro
11	//www.104.com.tw/job/7jlyu?jobsource=jolist_d_relevance	Data Engineer(台北工作)	香港商麥迪康亞太有限公司台灣分公司	醫療器材製造業	4/07	台北市信義區	3年以上	專科	1.熟悉資料庫SQL語法指令執行資料轉換及驗證，且具實務操作經驗2年以上。2.具備Store procedure實務操作經驗2年以上(任何資料庫皆可)。3.使用 PowerShell 或類似工具自動交付報告4.負責數據分析平台開發及資料庫效能調優5.對任一業界流通之資料庫使用熟悉（Oracle、MSSQL、PosgresSQL...等）6.具備ETL操作能力及使用BI報表相關工具(如Power BI, Tableau 等) 優先考慮	0~5人應徵	待遇面議			員工200人		
12	//www.104.com.tw/job/7w5y6?jobsource=jolist_d_relevance	Data Engineer	台灣易思資訊科技股份有限公司	電腦軟體服務業	4/06	台北市內湖區	經歷不拘	大學	Responsibility•Evaluate business needs and convert to technical specification•Design, build and deploy data solution•	11~30人應徵	月薪80,000~130,000元		外商公司	員工200人		
13	//www.104.com.tw/job/7gnzs?jobsource=jolist_d_relevance	[台北] BI / ETL/資料分析工程師	金上晉科技股份有限公司	金屬表面處理及熱處理業	4/13	台北市信義區	3年以上	大學	1. 使用者訪談與需求分析(有製造業ERP基礎尤佳)。2. 跨部門資料梳理及資料倉儲整合(ETL)應用(SSIS、Store Procedure、Pythan)。3. SSAS (Tabular Model)規劃及設計4. Dashboard、報表規劃及設計 (Power BI 、SSRS)5. 資料庫維護及系統日常維運。	6~10人應徵	待遇面議			員工1000人		距捷運市政府站約260公尺
14	//www.104.com.tw/job/7kabt?jobsource=jolist_d_relevance	[ Python ] Senior Data Engineer 資料工程師  #分散式系統  #技術大神 #內外部社群發展	炬識科技股份有限公司	其它軟體及網路相關業	4/13	台北市中山區	1年以上	大學	至少 3 年工作經驗- 1 年以上擔任 Data Engineer 角色參與專案之經驗，並熟悉 ETL 流程▎加分條件- 願意參與 Data infra 維運（Data Infra：各種儲存結構化或半結構化資料的系統）。- 願意參與運維	0~5人應徵	待遇面議			員工30人		距捷運中山站約490公尺
15	//www.104.com.tw/job/7t6vl?jobsource=jolist_d_relevance	Data Engineer 數據工程師 (TaiwanPlus國際影音串流平台)	財團法人公共電視文化事業基金會	電視業	3/25	台北市中山區	3年以上	專科	【工作內容】  1. 執行資料處理、資料分析以及data lake、data mart的建立與維護。  2. 使用BI工具建立報表分析及數據探勘。  3. 參與產品規劃，提供數據導向的洞見。  4. 因應業務需求，持續優化資料平台架構。	0~5人應徵	待遇面議			員工850人		距捷運行天宮站約130公尺
16	//www.104.com.tw/job/7nwwi?jobsource=jolist_d_relevance	資料工程師	CATCHPLAY_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	網際網路相關業	4/11	台北市內湖區	3年以上	大學	Responsibility：1.負責處理及挑戰Data相關問題，如整合不同來源與格式的資料、建立與維護data pipeline及資料品質管理。2.擅長解決問題、除錯，提出問題解決方案。3.優化資料庫效能與調整架構。	0~5人應徵	待遇面議			員工150人		距捷運西湖站約420公尺
17	//www.104.com.tw/job/7rfgz?jobsource=jolist_d_relevance	資料分析工程師	達暉資訊有限公司	電腦系統整合服務業	4/07	台北市大安區	2年以上	專科	▼▼我們的理念：提升自我價值、創造未來可能▲▲你、妳還有你!歡迎你進來此求職網頁恭喜你對達暉的認識進度已達到(25/100)喜歡學習&與人交流&體驗各種生活嗎？再次恭喜你！你可能走對地方了(吧?我們每年舉辦多場不同風格活動包括教學訓練、線上技術課程、分享會、生活體驗、新人訓練。期盼你與我們一同提升自我、一起創造未來(•‾⌣‾•)°o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧° °o‧°▍職缺條件：※ 熟悉分析工具如Tableau, PowerBI※ 熟悉SQL語法※ 操作過關聯式資料庫及了解其設計邏輯※ 使用程式語言經驗如 R, Python, MATLAB▍加分條件：※ 使用過Big Query, Hive※ 熟悉Google Analytics※ 熟悉App/Web埋點(Instrumentation)邏輯※ 熟悉A/B testing※ 對大數據運算及儲存平台如Spark/Hadoop有基本認識▍工作內容：1. 從用戶大數據裡，非結構化資料中梳理定義問題2. 觀察基本分析報表內做出問題的原因假設3. 拉取多面向數據分析報表證明假設4. 從分析的結論產出對產品的改善建議，並進行A/B測試 驗證分析的結論5. 支援其他報表需求▍人格特質：※樂於學習分享※良好溝通能力※追求程式品質▍您能獲得：※透過知名專案歷練，讓未來更好找工作。※未來職涯規劃諮詢，了解定位擬訂計畫。※線上技術訓練課程，隨時隨地都可學習。※多元化生活體驗課，一同創造美好回憶。	6~10人應徵	月薪40,000~70,000元			員工50人		距捷運六張犁站約490公尺
18	//www.104.com.tw/job/7xkjz?jobsource=jolist_d_relevance	資料科學工程師(Python程序開發)	集邦科技股份有限公司_TRENDFORCE	網際網路相關業	4/13	台北市中山區	經歷不拘	大學	1. Utilize the machine learning techniques to deliver business value and improve workflow efficiency.2. Conduct various experiments to identify OpenAI API (chatGPT) strengths and weaknesses.	11~30人應徵	待遇面議			員工250人		距捷運南京復興站約500公尺
19	//www.104.com.tw/job/6reao?jobsource=jolist_d_relevance	研發中心 - 數據工程師	東森新媒體控股股份有限公司	網際網路相關業	3/28	台北市南港區	1年以上	專科	用開發團隊，每日收集 2 千萬筆以上資料，高峰時可達 1,000 QPS；現正不斷優化Data Pipeline、ML 模型、數據應用平台持續擴充廣告和數據應用情境，我們正積極尋找強大的 Data Engineer，期待您的加入！	0~5人應徵	月薪50,000~75,000元			員工650人		
20	//www.104.com.tw/job/7vkgg?jobsource=jolist_d_relevance	資料分析工程師(BI)	美好購物ViVa TV_ 美好家庭購物股份有限公司	百貨相關業	4/13	台北市南港區	3年以上	大學	1、大數據資料處理與分析，提供營運團隊報表與方向2、使用Tableau 或 SSRS相關BI工具設計報表與畫面流程3、負責數據資料的蒐集、清洗、儲存、資料庫設計(SQL/ETL開發)	0~5人應徵	待遇面議			員工400人		
1	//www.104.com.tw/job/7kabt?jobsource=jolist_c_relevance	[ Python ] Senior Data Engineer 資料工程師  #分散式系統  #技術大神 #內外部社群發展	炬識科技股份有限公司	其它軟體及網路相關業	4/13	台北市中山區	1年以上	大學	至少 3 年工作經驗- 1 年以上擔任 Data Engineer 角色參與專案之經驗，並熟悉 ETL 流程▎加分條件- 願意參與 Data infra 維運（Data Infra：各種儲存結構化或半結構化資料的系統）。- 願意參與運維	0~5人應徵	待遇面議			員工30人		距捷運中山站約490公尺
2	//www.104.com.tw/job/7yey7?jobsource=jolist_c_relevance	AI R&D Data Engineer (Visual Document Intelligence)	美商文思海輝技術有限公司台灣分公司	電腦軟體服務業	4/07	台北市信義區	1年以上	大學	AI R&D Data Engineer (Visual Document Intelligence)ResponsibilitiesData engineers are mainly tasked with transforming	6~10人應徵	年薪800,000元以上			員工3200人		距捷運市政府站約90公尺
